category	dataset	image	filename	tp_volume	fp_volume	fn_volume	tp_length	fp_length	fn_length	tp_count	fp_count	fn_count	distance	Unnamed: 0	Dice	Dice_time	cbDice	cbDice_time	clDice	clDice_time	ccDice_0	ccDice_0_time	ccDice_1	ccDice_1_time	Betti_error_0	Betti_error_1	Betti_error_time	Betti_matching_0	Betti_matching_1	Betti_matching_time
missing_branch	LES-AV	img_2	pred_17.png	159435.0	0.0	64793.0	11760.0	0.0	6887.0	91.0	0.0	88.0			0.8311200193920185	0.0021929740905761	0.7694990092091792	0.3048732280731201	0.7735061005689479	0.0935101509094238	1.0	0.0291500091552734	1.0	4.7287681102752686	0	0	0.0430459976196289	0.0	0.0	122.4471640586853
missing_branch	LES-AV	img_2	pred_18.png	154965.0	0.0	69263.0	11387.0	0.0	7260.0	87.0	0.0	92.0			0.8173410374136654	0.00215744972229	0.7540414808985584	0.3016409873962402	0.7582739561829925	0.0926854610443115	1.0	0.0286390781402587	1.0	4.792916297912598	0	0	0.0430660247802734	0.0	0.0	122.10742807388306
missing_branch	LES-AV	img_2	pred_19.png	148255.0	0.0	75973.0	10766.0	0.0	7881.0	80.0	0.0	99.0			0.7960363291747543	0.0022015571594238	0.7273659652029222	0.3046815395355224	0.732057253595349	0.0951323509216308	1.0	0.0304608345031738	1.0	4.923894643783569	0	0	0.04404878616333	0.0	0.0	123.63247656822205
missing_branch	LES-AV	img_1	gt.png	209704.0	0.0	0.0	20096.0	0.0	0.0	204.0	0.0	0.0			1.0	0.0022234916687011	0.9999997929437004	0.3031120300292969	1.0	0.0870101451873779	1.0	0.05706787109375	1.0	3.1805076599121094	0	0	0.0443239212036132	0.0	0.0	122.37453413009644
missing_branch	LES-AV	img_1	pred_0.png	206730.0	0.0	2974.0	19757.0	0.0	339.0	191.0	0.0	13.0			0.9928584121373376	0.0022215843200683	0.9912377797666088	0.3009979724884033	0.9914937394926354	0.0855515003204345	1.0	0.0576822757720947	1.0	3.0496973991394043	0	0	0.043750524520874	0.0	0.0	121.48187232017516
missing_branch	LES-AV	img_1	pred_1.png	205345.0	0.0	4359.0	19463.0	0.0	633.0	184.0	0.0	20.0			0.9894976255815578	0.0021994113922119	0.9836436686158384	0.2947640419006347	0.983998584392932	0.0857758522033691	1.0	0.0569334030151367	1.0	3.063739061355591	0	0	0.0472569465637207	0.0	0.0	122.03493452072144
missing_branch	LES-AV	img_1	pred_2.png	203825.0	0.0	5879.0	19164.0	0.0	932.0	178.0	0.0	26.0			0.9857833428852631	0.0022079944610595	0.9758236219881395	0.2971928119659424	0.9762608252674478	0.0853867530822753	1.0	0.0562264919281005	1.0	3.1045498847961426	0	0	0.0444300174713134	0.0	0.0	123.24496579170228
missing_branch	LES-AV	img_1	pred_3.png	200658.0	0.0	9046.0	18614.0	0.0	1482.0	170.0	0.0	34.0			0.9779560485620014	0.0022087097167968	0.961123816539203	0.2985877990722656	0.961715319039008	0.0850241184234619	1.0	0.0552823543548584	1.0	3.023324489593506	0	0	0.0438926219940185	0.0	0.0	121.75217628479004
missing_branch	LES-AV	img_1	pred_4.png	195528.0	0.0	14176.0	18114.0	0.0	1982.0	162.0	0.0	42.0			0.9650175701820192	0.0022079944610595	0.9472101799889456	0.2980458736419678	0.9481287621041612	0.0855998992919921	1.0	0.0566058158874511	1.0	3.1041009426116943	0	0	0.044386863708496	0.0	0.0	122.77636671066284
missing_branch	LES-AV	img_1	pred_5.png	192281.0	0.0	17423.0	17673.0	0.0	2423.0	158.0	0.0	46.0			0.9566575867258728	0.0022103786468505	0.9346411664174354	0.2943315505981445	0.9358468585347772	0.0846796035766601	1.0	0.0543005466461181	1.0	2.929849147796631	0	0	0.0433120727539062	0.0	0.0	123.00730109214784
